招聘主题,招聘公司,浏览次数,职位数量,排名
航天三院三〇四所2022年校园招聘,北京京航计算通讯研究所,2476,1,1
启明信息技术股份有限公司2022年校园招聘简章,启明信息技术股份有限公司,2388,4,2
浙江大学杭州国际科创中心先进储能技术课题组2022年博士后招聘公告,广州高才信息科技有限公司,2214,1,3
清华大学天津高端装备研究院人才引进,中研博硕信息科技（湖北）有限公司,2027,1,4
中国科学技术大学先进技术研究院2021-2022年度招聘简章,北京神州之窗网络技术服务有限公司,2018,1,5
中证信息技术服务有限责任公司 2021年度招聘公告,中证信息技术服务有限责任公司,1975,1,6
武汉东湖学院马克思主义学院教师招聘,北京高博中进信息技术有限公司,1839,1,7
青岛鼎信通讯 2022 届秋季校园招聘,青岛鼎信通讯股份有限公司,1733,1,8
中国搜索2022年校园招聘简章,中国搜索信息科技股份有限公司,1572,1,9
北京工业大学先进电池材料与器件研究所（尉海军教授课题组）2021-2022年人才招聘,广州高才信息科技有限公司,1489,1,10
