序号,招聘主题,用人单位,发布日期,浏览次数
1811,售后工程师(产品部),上海英方软件股份有限公司,2021-10-15,1245
95,硬件电路设计/FPGA软件开发/测试试验岗/系统论证总体设计,重庆航天火箭电子技术有限公司,2022-01-05,909
3701,重庆吉芯科技有限公司2022届校园招聘简章,重庆吉芯科技有限公司,2021-09-01,460
3586,技术类和营销类,武汉光迅科技股份有限公司,2021-09-02,452
135,机械结构设计师,三江瓦力特特种车辆有限公司,2022-01-02,448
3700,2022届研发类岗位,苏州华兴源创科技股份有限公司,2021-09-01,401
2132,试剂研发工程师（可解决户口）,北京贝尔生物工程股份有限公司,2021-09-28,383
2638,大数据及人工智能,达坦能源科技（上海）有限公司,2021-09-15,379
2131,医疗仪器研发工程师,北京贝尔生物工程股份有限公司,2021-09-28,378
2637,智能传感器及仪表工程师,达坦能源科技（上海）有限公司,2021-09-15,376
3268,西工大无人机所2022校园招聘,西安爱生技术集团有限公司,2021-09-07,375
1941,生产管培生/职能管培生,四川晶科能源有限公司,2021-10-11,367
2417,PQE/FQA工程师,惠州中京电子科技有限公司,2021-09-22,365
2636,硬件研发工程师,达坦能源科技（上海）有限公司,2021-09-15,364
2124,试剂研发工程师,北京贝尔生物工程股份有限公司,2021-09-28,363
3698,国内销售岗,大千利元纳米科技有限公司,2021-09-01,363
2631,新能源电气工程师,达坦能源科技（上海）有限公司,2021-09-15,357
3400,销售工程师,北京天科合达半导体股份有限公司,2021-09-06,355
3696,财务岗,大千利元纳米科技有限公司,2021-09-01,355
2418,网络工程师,惠州中京电子科技有限公司,2021-09-22,353
